id,name,description,price,stock,category,image_path
M72,Magnet 88,Rheinfall,1.70,500,Magnet,/products/magnet/M88.jpg
M73,Magnet 89,Schilthorn,1.70,500,Magnet,/products/magnet/M89.jpg
M74,Magnet 90,cuckoo,1.70,500,Magnet,/products/magnet/M90.jpg
M75,Magnet 91,Zürich Switzerland Limmat,1.70,500,Magnet,/products/magnet/M91.jpg
M76,Magnet 92,Piz Gloria Schilthorn,1.70,500,Magnet,/products/magnet/M92.jpg
M77,Magnet 93,cuckoo thermometer,1.70,500,Magnet,/products/magnet/M93.jpg
M78,Magnet 94,cuckoo / Swiss Vapeur Parc MM,1.70,500,Magnet,/products/magnet/M94.jpg
M79,Magnet 95,cuckoo,1.70,500,Magnet,/products/magnet/M95.jpg
M80,Magnet 96,Chillon castle cuckoo,1.70,500,Magnet,/products/magnet/M96.jpg
M81,Magnet 97,Bern Switzerland cuckoo bear,1.70,500,Magnet,/products/magnet/M97.jpg
M82,Magnet 98,Bern Switzerland Zytglogge,1.70,500,Magnet,/products/magnet/M98.jpg
M83,Magnet 99,Morcote City,1.70,500,Magnet,/products/magnet/M99.jpg
M84,Magnet 100,Simplon Pass eagle statue,1.70,500,Magnet,/products/magnet/M100.jpg
M85,Magnet 101,Cathedral Lausanne,1.70,500,Magnet,/products/magnet/M101.jpg
M86,Magnet 102,St-Bernard and puppies,1.70,500,Magnet,/products/magnet/M102.jpg
M87,Magnet 103,Les Pacots ski club,1.70,500,Magnet,/products/magnet/M103.jpg
M88,Magnet 104,Jungfraujoch relief,1.70,500,Magnet,/products/magnet/M104.jpg
M89,Magnet 105,Verbier snow Switzerland,1.70,500,Magnet,/products/magnet/M105.jpg
M90,Magnet 106,City view,1.70,500,Magnet,/products/magnet/M106.jpg
M91,Magnet 107,Bundeshaus,1.70,500,Magnet,/products/magnet/M107.jpg
M92,Magnet 108,Zytglogge,1.70,500,Magnet,/products/magnet/M108.jpg
M93,Magnet 109,Zytglogge,1.70,500,Magnet,/products/magnet/M109.jpg
M94,Magnet 110,Zytglogge,1.70,500,Magnet,/products/magnet/M110.jpg
M95,Magnet 111,Bear and cub tree,1.70,500,Magnet,/products/magnet/M111.jpg
M96,Magnet 112,Bern bear MM,1.70,500,Magnet,/products/magnet/M112.jpg
M97,Magnet 113,Zytglogge relief MM,1.70,500,Magnet,/products/magnet/M113.jpg
M98,Magnet 114,Bern badge MM,1.70,500,Magnet,/products/magnet/M114.jpg
M99,Magnet 115,St-Moritz,1.70,500,Magnet,/products/magnet/M115.jpg
M100,Magnet 116,Bottle-opener,2.00,500,Magnet,/products/magnet/M116.jpg
M101,Magnet 116f,Bear figurine FIG,3.00,500,Magnet,/products/magnet/M116f.jpg
M102,Magnet 117,Water jet Genève,1.70,500,Magnet,/products/magnet/M117.jpg
M103,Magnet 117f,Bear figurine FIG,3.00,500,Magnet,/products/magnet/M117f.jpg
M104,Magnet 118,City Cathedral relief MM,1.70,500,Magnet,/products/magnet/M118.jpg
M105,Magnet 119,Chillon castle MM,1.70,500,Magnet,/products/magnet/M119.jpg
M106,Magnet 120,Swiss badge MM,1.70,500,Magnet,/products/magnet/M120.jpg
M107,Magnet 121,Valais badge MM,1.70,500,Magnet,/products/magnet/M121.jpg
M108,Magnet 122,Flag. cow. edelweis. bell MM,2.00,500,Magnet,/products/magnet/M122.jpg
M109,Magnet 123,Matterhorn red letters,1.70,500,Magnet,/products/magnet/M123.jpg
M110,Magnet 124,I love Luzern MM,1.70,500,Magnet,/products/magnet/M124.jpg
M111,Magnet 125,I love Zermatt MM,1.70,500,Magnet,/products/magnet/M125.jpg
M112,Magnet 126,I love Genève water jet MM,1.70,500,Magnet,/products/magnet/M126.jpg
M113,Magnet 127,Cuckoo,1.70,500,Magnet,/products/magnet/M127.jpg
M114,Magnet 128,bottle-opener I love Swiss MM,2.00,500,Magnet,/products/magnet/M128.jpg
M115,Magnet 129,bottle-opener golden cow MM,2.00,500,Magnet,/products/magnet/M129.jpg
M116,Magnet 131,bottle-opener swiss token MM,2.00,500,Magnet,/products/magnet/M131.jpg
M117,Magnet 131c,Switzerland cuckoo clock,1.70,500,Magnet,/products/magnet/M131c.jpg
M118,Magnet 132,Locarno panorama lake,1.70,500,Magnet,/products/magnet/M132.jpg
M119,Magnet 134,Bottle-opener relief MM,2.00,500,Magnet,/products/magnet/M134.jpg
M120,Magnet 135,Zermatt town Matterhorn,1.70,500,Magnet,/products/magnet/M135.jpg
M121,Magnet 137,Zermatt city,1.70,500,Magnet,/products/magnet/M137.jpg
M122,Magnet 138,Genève badge,1.70,500,Magnet,/products/magnet/M138.jpg
M123,Magnet 139,panorama,1.70,500,Magnet,/products/magnet/M139.jpg
M124,Magnet 140,Matterhorn 4470 m,1.70,500,Magnet,/products/magnet/M140.jpg
M125,Magnet 141,Zermatt Matterhorn,1.70,500,Magnet,/products/magnet/M141.jpg
M126,Magnet 142,St-Bernard with barrel,1.70,500,Magnet,/products/magnet/M142.jpg
M127,Magnet 143,Gruyères street Moleson,1.70,500,Magnet,/products/magnet/M143.jpg
M128,Magnet 144,Rheinfall Switzerland,1.70,500,Magnet,/products/magnet/M144.jpg
M129,Magnet 145,Dookie Crans-Montana,1.70,500,Magnet,/products/magnet/M145.jpg
M130,Magnet 146,Dookie skiing,1.70,500,Magnet,/products/magnet/M146.jpg
M131,Magnet 147,Dookie St-Moritz sign,1.70,500,Magnet,/products/magnet/M147.jpg
M132,Magnet 148,Davos Dookie sign,1.70,500,Magnet,/products/magnet/M148.jpg
M133,Magnet 149,Dookie Gruyères sign,1.70,500,Magnet,/products/magnet/M149.jpg
M134,Magnet 150,St-Bernard thermometer,2.00,500,Magnet,/products/magnet/M150.jpg
M135,Magnet 152,Red bell white cross MM,1.70,500,Magnet,/products/magnet/M152.jpg
M136,Magnet 153,Leman Lake grapes Lavaux,1.70,500,Magnet,/products/magnet/M153.jpg
M137,Magnet 155,Interlaken bilboard Dookie,1.70,500,Magnet,/products/magnet/M155.jpg
M138,Magnet 156,Grand St-Bernard cuckoo,1.70,500,Magnet,/products/magnet/M156.jpg
M139,Magnet 157,Genève cuckoo,1.70,500,Magnet,/products/magnet/M157.jpg
M140,Magnet 158,Zermatt cuckoo,1.70,500,Magnet,/products/magnet/M158.jpg
M141,Magnet 161Ge,Dookie GE,1.70,500,Magnet,/products/magnet/M161Ge.jpg
M142,Magnet 161Be,Dookie Be,1.70,500,Magnet,/products/magnet/M161Be.jpg
M143,Magnet 161In,Dookie In,1.70,500,Magnet,/products/magnet/M161In.jpg
M144,Magnet 161L,Dookie L,1.70,500,Magnet,/products/magnet/M161L.jpg
M145,Magnet 161Lu,Dookie Lu,1.70,500,Magnet,/products/magnet/M161Lu.jpg
M146,Magnet 161Mo,Dookie Mo,1.70,500,Magnet,/products/magnet/M161Mo.jpg
M147,Magnet 161Rh,Dookie Rh,1.70,500,Magnet,/products/magnet/M161Rh.jpg
M148,Magnet 161Ze,Dookie Ze,1.70,500,Magnet,/products/magnet/M161Ze.jpg
M149,Magnet 161Zh,Dookie Zh,1.70,500,Magnet,/products/magnet/M161Zh.jpg
M150,Magnet 162,Bear Zytglogge,1.70,500,Magnet,/products/magnet/M162.jpg
M151,Magnet 163,Matterhorn train,1.70,500,Magnet,/products/magnet/M163.jpg
M152,Magnet 164,Grand St-Bernard,1.70,500,Magnet,/products/magnet/M164.jpg
M153,Magnet 165,Zürich cuckoo,1.70,500,Magnet,/products/magnet/M165.jpg
M154,Magnet 166,St-Bernard,1.70,500,Magnet,/products/magnet/M166.jpg
M155,Magnet 167,Lanterbrunnen,1.70,500,Magnet,/products/magnet/M167.jpg
M156,Magnet 168,Metallic Postal bus,1.00,500,Magnet,/products/magnet/M168.jpg
M157,Magnet 169,Metallic Zermatt,1.00,500,Magnet,/products/magnet/M169.jpg
M158,Magnet 170,Metallic train,1.00,500,Magnet,/products/magnet/M170.jpg
M159,Magnet 171,Andermatt train,1.70,500,Magnet,/products/magnet/M171.jpg
M160,Magnet 172,Grossmunster Zürich MM,1.70,500,Magnet,/products/magnet/M172.jpg
M161,Magnet 173,Metallic Zürich,1.00,500,Magnet,/products/magnet/M173.jpg
M162,Magnet 174,Metallic Interlaken,1.00,500,Magnet,/products/magnet/M174.jpg
M163,Magnet 175,Matterhorn cabin landscape MM,2.00,500,Magnet,/products/magnet/M175.jpg
M164,Magnet 176,Andermatt ski,1.70,500,Magnet,/products/magnet/M176.jpg
M165,Magnet 178,Lucerne Kapellbrücke MM,1.70,500,Magnet,/products/magnet/M178.jpg
M166,Magnet 179,Nyon castle,1.70,500,Magnet,/products/magnet/M179.jpg
M167,Magnet 181,fondue pot,1.70,500,Magnet,/products/magnet/M181.jpg
M168,Magnet 182,Red cow head,1.70,500,Magnet,/products/magnet/M182.jpg
M169,Magnet 183,Red cow,1.70,500,Magnet,/products/magnet/M183.jpg
M170,Magnet 184,BW cow switzerland,1.70,500,Magnet,/products/magnet/M184.jpg
M171,Magnet 186,Cuckoo,1.70,500,Magnet,/products/magnet/M186.jpg
M172,Magnet 186f,Raclette and wine MM,1.70,500,Magnet,/products/magnet/M186f.jpg
M173,Magnet 187,Cuckoo,1.70,500,Magnet,/products/magnet/M187.jpg
M174,Magnet 188,Cuckoo,1.70,500,Magnet,/products/magnet/M188.jpg
M175,Magnet 189,Cuckoo,1.70,500,Magnet,/products/magnet/M189.jpg
M176,Magnet 190,Magnet box,2.40,500,Magnet,/products/magnet/M190.jpg
M177,Magnet 191,Magnet box,2.40,500,Magnet,/products/magnet/M191.jpg
M178,Magnet 192,BASEL charm magnet,2.00,500,Magnet,/products/magnet/M192.jpg
M179,Magnet 193,Animals hand spinner,2.60,500,Magnet,/products/magnet/M193.jpg
M180,Magnet 194,Yellow plates hand spinner,2.60,500,Magnet,/products/magnet/M194.jpg
M181,Magnet 196,Camera magnet GENEVA,1.70,500,Magnet,/products/magnet/M196.jpg
M182,Magnet 197,Camera magnet Bern bear,1.70,500,Magnet,/products/magnet/M197.jpg
M183,Magnet 198,Camera magnet Bern,1.70,500,Magnet,/products/magnet/M198.jpg
M184,Magnet 199,Camera magnet Switzerland,1.70,500,Magnet,/products/magnet/M199.jpg
M185,Magnet 200,Bicycles magnet GENEVA,1.70,500,Magnet,/products/magnet/M200.jpg
M186,Magnet 201,Bicycles magnet Bern,1.70,500,Magnet,/products/magnet/M201.jpg
M187,Magnet 202,Bicycles magnet Zürich,1.70,500,Magnet,/products/magnet/M202.jpg
M188,Magnet 203,Bear magnet with bottle opener UV printing Green.White. Pink.Blue,2.00,500,Magnet,/products/magnet/M203.jpg
M189,Magnet 204,Magnet Geneva broken chair,2.00,500,Magnet,/products/magnet/M204.jpg
M190,Magnet 252,Genève water jet,1.70,500,Magnet,/products/magnet/M252.jpg
M191,Magnet 257,Swiss mountains (magnet seins),1.70,500,Magnet,/products/magnet/M257.jpg
M192,Magnet 258,Luzern Kapellbrücke,1.70,500,Magnet,/products/magnet/M258.jpg
M193,Magnet 261,Metallic Montreux,1.00,500,Magnet,/products/magnet/M161.jpg
M194,Magnet 262,Set Swiss DE,2.40,500,Magnet,/products/magnet/M262.jpg
M195,Magnet 263,Set Swiss FR,2.40,500,Magnet,/products/magnet/M263.jpg
M196,Magnet 264,Planchette aperitif,1.70,500,Magnet,/products/magnet/M264.jpg
M197,Magnet 265,Metallic Genève,1.00,500,Magnet,/products/magnet/M265.jpg
M198,Magnet 266,Metallic Bern,1.00,500,Magnet,/products/magnet/M266.jpg
M199,Magnet 267,Fondue pot | 30x15 Metallic plate MM,1.70,500,Magnet,/products/magnet/M267.jpg
M200,Magnet 268,Metallic Crans-Montana,1.00,500,Magnet,/products/magnet/M268.jpg
M201,Magnet 269,Metallic Lausanne | 30x15 Metallic plate MM,1.00,500,Magnet,/products/magnet/M269.jpg
M202,Magnet 270,Metallic 1291 | 30x15 Metallic plate MM,1.00,500,Magnet,/products/magnet/M270.jpg
M203,Magnet 271,Kapellbrücke Pilatus,1.70,500,Magnet,/products/magnet/M271.jpg
M204,Magnet 272,Swiss map rubber Red,1.00,500,Magnet,/products/magnet/M272.jpg
M205,Magnet 273,Swiss map rubber White,1.00,500,Magnet,/products/magnet/M273.jpg
M206,Magnet 274,Metallic red poya,1.20,500,Magnet,/products/magnet/M274.jpg
M207,Magnet 275,Metallic Pedestrian VS 10x3cm,1.20,500,Magnet,/products/magnet/M275.jpg
M208,Magnet 276,Metallic Pedestrian Lausanne 10x3cm,1.20,500,Magnet,/products/magnet/M276.jpg
M209,Magnet 277,Metallic Pedestrian Luzern 10x3cm,1.20,500,Magnet,/products/magnet/M277.jpg
M210,Magnet 278,Metallic Pedestrian Zermatt 10x3cm,1.20,500,Magnet,/products/magnet/M278.jpg
M211,Magnet 279,Metallic Pedestrian Interlaken 10x3cm,1.20,500,Magnet,/products/magnet/M279.jpg
M212,Magnet 280,Metallic Pedestrian Bern 10x3cm,1.20,500,Magnet,/products/magnet/M280.jpg
M213,Magnet 281,Metallic Pedestrian GE 10x3cm,1.20,500,Magnet,/products/magnet/M281.jpg
M214,Magnet 282,Metallic Pedestrian ZU 10x3cm,1.20,500,Magnet,/products/magnet/M282.jpg
M215,Magnet 284,Metallic Pedestrian Rheinfall 10x3cm,1.20,500,Magnet,/products/magnet/M284.jpg
M216,Magnet 285,Swiss map Interlaken,1.00,500,Magnet,/products/magnet/M285.jpg
M217,Magnet 286,Swiss map Lausanne,1.00,500,Magnet,/products/magnet/M286.jpg
M218,Magnet 287,Swiss map Luzern,1.00,500,Magnet,/products/magnet/M287.jpg
M219,Magnet 288,Swiss map Rheinfall,1.00,500,Magnet,/products/magnet/M288.jpg
M220,Magnet 289,Swiss map Zermatt (night),1.00,500,Magnet,/products/magnet/M289.jpg
M221,Magnet 290,Swiss map Zermatt,1.00,500,Magnet,/products/magnet/M290.jpg
M222,Magnet 291,Bear Bern Switzerland,1.70,500,Magnet,/products/magnet/M291.jpg
M223,Magnet 292,Swiss map Zürich,1.00,500,Magnet,/products/magnet/M292.jpg
M224,Magnet 292z,Bicycles magnet Zürich,1.70,500,Magnet,/products/magnet/M292z.jpg
M225,Magnet 293,Zytglogge,1.70,500,Magnet,/products/magnet/M293.jpg
M226,Magnet 294,Swiss map Genève,1.00,500,Magnet,/products/magnet/M294.jpg
M227,Magnet 295,Swiss map Bern,1.00,500,Magnet,/products/magnet/M295.jpg
M228,Magnet 296c,Cuckoo clock,1.70,500,Magnet,/products/magnet/M296c.jpg
M229,Magnet 296,Swiss map Montreux,1.00,500,Magnet,/products/magnet/M296.jpg
M230,Magnet 297,Swiss map Crans-Montana,1.00,500,Magnet,/products/magnet/M297.jpg
M231,Magnet 298,Metallic Pedestrian Gruyères 10x3cm,1.20,500,Magnet,/products/magnet/M298.jpg
M232,Magnet 299,Swiss map panorama,1.00,500,Magnet,/products/magnet/M299.jpg
M233,Magnet 300,Switzerland red MM,1.70,500,Magnet,/products/magnet/M300.jpg
M234,Magnet 301,bottle-opener Dookie MM,2.00,500,Magnet,/products/magnet/M301.jpg
M235,Magnet 302,Metallic cycle track,1.20,500,Magnet,/products/magnet/M302.jpg
M236,Magnet 303,Red cow over Switzerland text MM,1.70,500,Magnet,/products/magnet/M303.jpg
M237,Magnet 304,Fondue cheese. cow. bell MM,2.00,500,Magnet,/products/magnet/M304.jpg
M238,Magnet 305,Cow bell Switzerland MM,2.00,500,Magnet,/products/magnet/M305.jpg
M239,Magnet 306,Jungfraujoch MM,2.00,500,Magnet,/products/magnet/M306.jpg
M240,Magnet 307g,Golden bell swiss flag,1.70,500,Magnet,/products/magnet/M307g.jpg
M241,Magnet 307,Water jet magnet MM,2.00,500,Magnet,/products/magnet/M307.jpg
M242,Magnet 308,flag. clock. water jet. chocolate MM,2.00,500,Magnet,/products/magnet/M308.jpg
M243,Magnet 315,Bear MM,2.00,500,Magnet,/products/magnet/M315.jpg
M244,Magnet 316,Zytglogge MM,2.00,500,Magnet,/products/magnet/M316.jpg
M245,Magnet 317,Zytglogge MM,2.00,500,Magnet,/products/magnet/M317.jpg
M246,Magnet 318,Zytglogge MM,1.70,500,Magnet,/products/magnet/M318.jpg
